Date,Person,Game
4/1/2025,Josh,Wordle
4/1/2025,Erik,Minute Cryptic
4/1/2025,Blair,Cross|Word
4/1/2025,Erik,Wordle
4/2/2025,Josh,Wordle
4/2/2025,Blair,Cross|Word
4/3/2025,Josh,Wordle
4/3/2025,Blair,Cross|Word
4/3/2025,Bri,Strands
4/3/2025,Bri,Cross|Word
4/3/2025,Josh,Strands
4/4/2025,Josh,Wordle
4/4/2025,Blair,Cross|Word
4/5/2025,Josh,Wordle
4/5/2025,Erik,Wordle
4/5/2025,Bri,Stacked
4/5/2025,Josh,Stacked
4/6/2025,Blair,Cross|Word
4/6/2025,Bri,Cross|Word
4/6/2025,Blair,Cross|Word
4/7/2025,Blair,Cross|Word
4/7/2025,Alex,Connections
4/8/2025,Bri,Moviedle
4/8/2025,Blair,Cross|Word
4/8/2025,Blair,Moviedle
4/8/2025,Erik,MovieToMovie
4/8/2025,Josh,Wordle
4/9/2025,Blair,Cross|Word
4/10/2025,Blair,Cross|Word
4/10/2025,Josh,Wordle
4/11/2025,Blair,Cross|Word
4/11/2025,Alex,Posterdle
4/11/2025,Bri,Cross|Word
4/13/2025,Blair,Cross|Word
4/13/2025,Bri,Moviedle
4/14/2025,Blair,Cross|Word
4/14/2025,Alex,Connections
4/15/2025,Blair,Cross|Word
4/16/2025,Josh,Wordle
4/16/2025,Bri,Bracket City
4/16/2025,Dylan,Connections
4/16/2025,Blair,Cross|Word
4/17/2025,Dylan,Connections
4/17/2025,Blair,Cross|Word
4/18/2025,Dylan,Connections
4/18/2025,Blair,Cross|Word
4/18/2025,Dylan,Wordle
4/19/2025,Bri,Connections
4/19/2025,Josh,Wordle
4/19/2025,Blair,Cross|Word
4/20/2025,Blair,Cross|Word
4/20/2025,Josh,Wordle
4/20/2025,Dylan,Connections
4/21/2025,Josh,Wordle
4/21/2025,Dylan,Connections
4/21/2025,Alex,Connections
4/21/2025,Blair,Cross|Word
4/21/2025,Kathy,Connections
4/21/2025,Kathy,Spelling Bee
4/21/2025,Kathy,Wordle
4/22/2025,Josh,Wordle
4/22/2025,Kathy,Wordle
4/22/2025,Blair,Cross|Word
4/23/2025,Blair,Cross|Word
4/23/2025,Josh,Wordle
4/23/2025,Kathy,Wordle
4/23/2025,Kathy,Connections
4/23/2025,Kathy,NYT Mini
4/23/2025,Dylan,Connections
4/23/2025,Josh,Squardle
4/23/2025,Chase,Wordle
4/23/2025,Chase,Connections
4/23/2025,Erik,Minute Cryptic
4/23/2025,Erik,Wordle
4/23/2025,Erik,Connections
4/23/2025,Alex,Wordle
4/23/2025,Alex,Minute Cryptic
4/23/2025,Kathy,NYT Mini
4/24/2025,Josh,Wordle
4/24/2025,Erik,Minute Cryptic
4/24/2025,Erik,Wordle
4/24/2025,Erik,Connections
4/24/2025,Blair,Cross|Word
4/24/2025,Kathy,Connections
4/24/2025,Kathy,Wordle
4/24/2025,Alex,Minute Cryptic
4/24/2025,Kathy,Spelling Bee
4/24/2025,Chase,Spelling Bee
4/24/2025,Bri,Connections
4/24/2025,Dylan,Connections
4/24/2025,Kathy,NYT Mini
4/25/2025,Josh,Wordle
4/25/2025,Dylan,Connections
4/25/2025,Kathy,Wordle
4/25/2025,Kathy,Connections
4/25/2025,Erik,Minute Cryptic
4/25/2025,Erik,Wordle
4/25/2025,Erik,Connections
4/25/2025,Alex,Minute Cryptic
4/25/2025,Bri,Strands
4/26/2025,Erik,Minute Cryptic
4/26/2025,Erik,Wordle
4/26/2025,Erik,Connections
4/26/2025,Erik,Strands
4/26/2025,Kathy,NYT Mini
4/26/2025,Kathy,Wordle
4/26/2025,Chase,Wordle
4/26/2025,Kathy,Connections
4/26/2025,Dylan,Connections
4/26/2025,Blair,Cross|Word
4/26/2025,Josh,Wordle
4/27/2025,Erik,Minute Cryptic
4/27/2025,Erik,Wordle
4/27/2025,Erik,Connections
4/27/2025,Erik,Strands
4/27/2025,Dylan,Connections
4/27/2025,Alex,Minute Cryptic
4/27/2025,Chase,Wordle
4/27/2025,Chase,Connections
4/27/2025,Kathy,Connections
4/27/2025,Kathy,Wordle
4/27/2025,Josh,Wordle
4/27/2025,Josh,Connections
4/28/2025,Blair,Cross|Word
4/28/2025,Dylan,Connections
4/28/2025,Chase,Connections
4/28/2025,Chase,Wordle
4/28/2025,Alex,Connections
4/28/2025,Blair,Cross|Word
4/28/2025,Erik,Minute Cryptic
4/28/2025,Alex,Minute Cryptic
4/29/2025,Erik,Minute Cryptic
4/29/2025,Dylan,Connections
4/29/2025,Josh,Wordle
4/29/2025,Kathy,Wordle
4/29/2025,Kathy,Connections
4/29/2025,Chase,Wordle
4/29/2025,Chase,Connections
4/29/2025,Alex,Minute Cryptic
4/29/2025,Alex,Connections
4/29/2025,Alex,Cross|Word
4/29/2025,Erik,Connections
4/29/2025,Alex,Wordle
4/29/2025,Erik,Wordle
4/29/2025,Erik,Strands
4/29/2025,Erik,NYT Mini
4/30/2025,Josh,Wordle
4/30/2025,Dylan,Connections
4/30/2025,Kathy,Wordle
4/30/2025,Kathy,Connections
4/30/2025,Erik,Minute Cryptic
4/30/2025,Erik,Wordle
4/30/2025,Erik,Connections
4/30/2025,Erik,Strands
4/30/2025,Dylan,Wordle
4/30/2025,Chase,Wordle
4/30/2025,Chase,Connections
4/30/2025,Alex,Wordle